fips,name_16,County,LessThanHighSchool,AtLeastHighSchool,AtLeastBS,GraduateDegreee,School_Enrollment,MedianEarnings,WhitePopulation,AfricanAmericanPopulation,NativeAmericanPopulation,AsianAmericanPopulatyion,OtherRaces,LatinoPopulation,ChildrenUnder6LivinginPoverty,Adults65andOlderLivinginPoverty,TotalPopulation,PreschoolEnrollmentRatioenrolledages3and4,PovertyRatebelowfederalpoverty.hreshold,GiniCoefficient,ChildPovertylivinginfamiliesbelowthepovertyline,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity.percent,Adult.obesity.population,Diabetes.percent,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins
13085,Dawson,"Dawson County, Georgia",15.4,84.6,18.8,5.7,74.2,27006.06921,93.5,0.2,0.45,0.5,1.85,3.5,15.15,5.65,21830,56,11.5,0.421,15.05,25.55,17.7,27.8,1.05,14.15,13.8,Georgia,93.5,0.2,3.5,0.5,0.45,1.85,94,0.8758415,40.7,-84.1732841,34.4428421,,2.7,0.07,44.3,0.359,0.292,0.275,6003,0.108,164.7,80.7,0.224,0.077,82.83,,71.7,,0.121042844,0.046825932,0.592045598,2.63E-05,2.63E-05,6.29E-05,3.91E-04,-0.545820583,,,,,,,,,,,,,,,,,,,,,,,,,,"(33.8,35.6]","(-84.5,-82.1]",,
13087,Decatur,"Decatur County, Georgia",24.4,75.6,12.5,4.9,74.8,23854.12603,53.7,40.25,0.4,0.25,0.85,4.55,40,18.95,28168.5,40.4,23.1,0.48,30.8,25.4,19.9,23,2.65,11.7,17.4,Georgia,53.7,40.25,4.55,0.25,0.4,0.85,53.95,0.45254,36.3,-84.5777442,30.8779607,4.2,3.5,0.11,83.5,0.533,0.244,0.317,8929,0.129,971.3,410.4,0.221,0.113,439.8,7.18,78.1,7.5,-0.182747302,-1.681221874,0.616300392,-8.09E-05,8.09E-05,1.69E-04,4.26E-04,-0.003457431,,,,,,,,,,,,,,,,,,,,,,,,,,"[19.6,31.7]","(-87.2,-84.5]",,
13089,DeKalb,"DeKalb County, Georgia",12.1,87.9,38.7,15.1,76.15,31275.05492,30.05,53.6,0.2,4.6,1.65,9.95,25.75,10.75,712476.5,56.9,15.75,0.472,24,41.3,15.1,25.45,0.05,8.15,9.85,Georgia,30.05,53.6,9.95,4.6,0.2,1.65,34.65,0.38988875,33.9,-84.2263431,33.7706611,2.5,3,0.1,46.4,0.456,0.108,0.255,181682,0.09,722,1080.4,0.239,0.093,623.17,13.97,51.7,8.5,-1.335235559,-0.369586419,1.330511815,1.75E-04,1.75E-04,1.85E-04,0.001072451,1.426127185,305.3,5297,1397,1409,1268,1223,617,719,516,442,536,348,785,882,689,614,727,501,625,729,521,13089,16.5,1345.438,"(14.9,16.6]","(31.7,33.8]","(-84.5,-82.1]","(1.27e+03,1.39e+03]","(259,317]"
13091,Dodge,"Dodge County, Georgia",23.1,76.9,13.8,4.8,61.5,26927.60826,66.15,29.8,0.15,0.45,0.65,2.8,20.65,20.6,20745.5,41.5,21.15,0.464,23.7,26.15,20.05,22,1.6,11.35,18.85,Georgia,66.15,29.8,2.8,0.45,0.15,0.65,66.6,0.527235,37.7,-83.156818,32.1606555,4.3,4.7,0.12,64,0.453,0.189,0.358,7427,0.153,497.9,315.8,0.208,0.115,477.48,8.11,79.4,,-0.187251336,-1.548705802,0.679845864,-8.08E-05,8.08E-05,1.84E-04,5.87E-04,0.112365847,121.9,4693,1259,1383,1058,993,646,756,536,483,591,375,798,899,698,641,759,523,658,771,546,13091,18.11111111,1192.022,"(16.6,18.5]","(31.7,33.8]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(105,167]"
13093,Dooly,"Dooly County, Georgia",30.3,69.7,9.6,3.7,63.9,22945.94095,44.2,49.45,0.1,0.3,0.4,5.5,54.35,21.6,13279.5,49.3,27.3,0.48,42.7,25.85,11.85,29.9,3,9.9,19.5,Georgia,44.2,49.45,5.5,0.3,0.1,0.4,44.5,0.44294525,40.3,-83.807167,32.1519954,,,0.14,64.5,0.449,,0.317,4210,0.131,644.4,514,0.237,0.131,431.92,,53.2,,-1.842144162,-2.15880377,0.822342628,-1.34E-04,1.34E-04,4.04E-04,0.001603777,1.061112739,103,4846,1282,1366,1206,992,646,767,526,483,605,361,803,910,695,640,770,510,657,780,534,13093,18.11111111,1230.884,"(16.6,18.5]","(31.7,33.8]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(38.9,105]"
13095,Dougherty,"Dougherty County, Georgia",19.3,80.7,19.6,7.8,75.5,21450.21746,30.95,65.1,0.2,0.9,1,1.85,43.75,15.65,94947.5,54.7,27.05,0.501,39.5,29.15,20.4,24.9,1.6,8.2,15.8,Georgia,30.95,65.1,1.85,0.9,0.2,1,31.85,0.5201185,32.9,-84.2144444,31.5350683,3.3,3.3,0.13,74.1,0.627,0.185,0.381,36175,0.125,1271.3,685.4,0.211,0.106,810.32,8.92,49.5,10.6,-0.906974632,-1.915960908,1.129240507,-4.52E-05,4.52E-05,4.43E-04,0.001132418,1.101204831,56.4,4999.5,1311.5,1566.5,1165,956.5,665.5,783,548,504.5,622.5,386,815.5,919,712,661,789.5,531.5,679,798.5,559,13095,19.19444444,1269.873,"(18.5,25.2]","[19.6,31.7]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(38.9,105]"
13097,Douglas,"Douglas County, Georgia",13.6,86.4,23.7,7.7,77.55,32897.63492,53.3,35.95,0.25,1.5,1.8,7.1,15.95,9.5,127530,56.6,11.1,0.394,15,32.2,14,28.7,0,10.6,14.4,Georgia,53.3,35.95,7.1,1.5,0.25,1.8,54.8,0.4189255,34.5,-84.7659441,33.6993166,3.2,3.5,0.1,39.9,0.355,0.148,0.346,44125,0.116,571.4,150.5,0.206,0.092,291.54,4.77,53.7,7.2,-0.549596202,-0.008278467,0.7275678,3.51E-05,3.51E-05,7.22E-05,2.38E-04,-0.305728219,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-87.2,-84.5]",,
13099,Early,"Early County, Georgia",22.9,77.1,13.5,6.5,77.35,22289.19143,47.75,50.2,0.25,0.25,0.6,0.95,41.05,15.35,11410,80.1,27.95,0.478,42.5,26.35,22.35,17.75,1.15,11.95,20.45,Georgia,47.75,50.2,0.95,0.25,0.25,0.6,48,0.480149,38.2,-84.9067225,31.3241906,,,0.15,72.2,0.521,0.242,0.305,3480,0.134,1169,188.2,0.193,0.084,521.4,,83.3,,-1.0120348,-2.123594235,0.982069759,-1.06E-04,1.06E-04,3.61E-04,0.001785452,1.029897117,,,,,,,,,,,,,,,,,,,,,,,,,,"[19.6,31.7]","(-87.2,-84.5]",,
13101,Echols,"Echols County, Georgia",32.2,67.8,6.1,2.6,68.1,18813.82476,61.95,2.9,0.7,0.15,0.8,33.45,64.05,4.8,4095.5,16.2,31.95,0.383,39.3,21.1,22.1,10.65,12.75,22.85,10.6,Georgia,61.95,2.9,33.45,0.15,0.7,0.8,62.1,0.49662675,28.8,-82.836132,30.7085,,,,40.8,0.304,,0.283,1159,0.101,145.3,160.6,0.354,0.071,147.57,,,,0.142921964,-1.53703765,1.568009738,1.23E-04,1.23E-04,4.73E-04,0.001186241,2.122159058,,,,,,,,,,,,,,,,,,,,,,,,,,"[19.6,31.7]","(-84.5,-82.1]",,
13103,Effingham,"Effingham County, Georgia",15.7,84.3,15.5,5.2,77.15,32837.3508,81.15,13.8,0.2,0.85,1.45,2.6,15.05,11.5,51303.5,45.8,10.45,0.388,14.15,26.75,13,25.35,0.25,15.9,18.75,Georgia,81.15,13.8,2.6,0.85,0.2,1.45,82,0.67853875,35,-81.3433367,32.3617106,4.4,3.2,0.09,33.2,0.238,0.179,0.31,15904,0.096,321,76.2,0.188,0.077,113.91,4.1,63.4,9.4,0.581311868,0.061289467,0.613431108,2.20E-05,2.20E-05,4.93E-05,2.32E-04,-0.570329308,25.6,4960,1108,1795,989,1068,,,,,,,,,,,,,,,,13103,,1259.84,,"(31.7,33.8]","(-82.1,-78.2]","(1.19e+03,1.27e+03]","[-12.3,38.9]"
13105,Elbert,"Elbert County, Georgia",27,73,9.6,3.4,72.1,23110.88857,64.85,29.55,0.2,0.45,0.7,4.25,41.05,11.8,20370,49,22.05,0.442,34.95,23.85,16.7,18.4,0.95,12.2,27.95,Georgia,64.85,29.55,4.25,0.45,0.2,0.7,65.3,0.509752,39.9,-82.8420572,34.1150165,6.2,4.1,0.1,62.7,0.451,0.188,0.355,7231,0.142,507.9,183.1,0.244,0.118,373.77,,92,10.3,-0.565706008,-1.681532983,0.487630361,-1.03E-04,1.03E-04,1.64E-04,4.85E-04,-0.066392867,164.6,4798,1274,1326,1123,1075,584,703,465,409,526,292,757,862,652,578,710,446,590,712,469,13105,14.66666667,1218.692,"(13.6,14.9]","(33.8,35.6]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(105,167]"
13107,Emanuel,"Emanuel County, Georgia",27.6,72.4,9.7,4.3,69.7,20171.68127,60.4,33.15,0.1,0.35,0.7,5.35,42.45,15.95,22609,73.7,24.5,0.464,35.65,24.85,17.5,20.95,3.2,11.6,21.9,Georgia,60.4,33.15,5.35,0.35,0.1,0.7,60.75,0.47763275,36.4,-82.2997628,32.5910995,4.3,2.6,0.1,74.4,0.423,,0.3,6783,0.113,620.4,370.4,0.247,0.113,96.61,9.68,95.8,10.5,-0.853534771,-1.663069393,0.576253236,-6.78E-05,6.78E-05,2.33E-04,0.001037872,0.024773761,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-84.5,-82.1]",,
13109,Evans,"Evans County, Georgia",26.7,73.3,13.4,5.8,71.95,22569.6927,57.5,29.35,0.3,0.35,0.95,11.55,49.75,17.55,11223,69.9,22.35,0.423,34.2,26.8,11.85,25,3.95,11,21.35,Georgia,57.5,29.35,11.55,0.35,0.3,0.95,57.85,0.430219,36.7,-81.887618,32.1519021,7.5,,0.09,92,0.487,0.299,0.348,3906,0.141,677.8,482.2,0.264,0.088,280.52,,83.9,,-0.238361438,-2.029084366,0.876561811,-1.16E-04,1.16E-04,3.07E-04,0.001310593,0.822942674,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-82.1,-78.2]",,
13111,Fannin,"Fannin County, Georgia",22.1,77.9,16.2,7.2,72.45,24243.2654,96,0.25,0.45,0.6,1.15,1.55,18.25,13.1,23058,48.9,14.85,0.439,20.5,25.95,16.35,24.5,1.4,17.4,14.4,Georgia,96,0.25,1.55,0.6,0.45,1.15,96.6,0.922035,47.2,-84.3192867,34.8638367,4.8,5.3,0.09,57.5,0.362,0.267,0.29,6687,0.132,88.6,75.9,0.248,0.096,424.75,,96.8,,-0.016644138,-0.788817632,0.629600822,1.39E-05,1.39E-05,5.50E-05,2.52E-04,-0.577155338,,,,,,,,,,,,,,,,,,,,,,,,,,"(33.8,35.6]","(-84.5,-82.1]",,
13113,Fayette,"Fayette County, Georgia",6.4,93.6,41.5,15.4,86.25,39043.67302,69.85,19.05,0.2,3.85,1.8,5.25,6.5,4.55,105935,60.2,4.5,0.395,5.55,43,11.6,28,0.05,6.7,10.55,Georgia,69.85,19.05,5.25,3.85,0.2,1.8,73.7,0.528759,41.4,-84.4939407,33.4127172,2.6,2.9,0.07,13.2,0.221,0.123,0.25,26484,0.106,224.5,143.1,0.131,0.079,74.16,3.16,40.3,4.8,1.635328617,1.371273305,0.729419318,-2.04E-04,2.04E-04,3.75E-04,9.43E-04,1.223438551,243.2,4999,1324,1321,1242,1112,614,734,495,446,560,331,779,888,670,609,739,478,620,744,497,13113,16.33333333,1269.746,"(14.9,16.6]","(31.7,33.8]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(216,259]"
13115,Floyd,"Floyd County, Georgia",24.1,75.9,17.9,7.2,78.25,24657.11969,74.9,13.6,0.2,1.35,1.35,8.55,29.8,10.6,95778,44.3,18.8,0.458,27.3,30,17.95,24,0.55,11.4,16.1,Georgia,74.9,13.6,8.55,1.35,0.2,1.35,76.25,0.58717575,37.2,-85.2137297,34.2636769,4.8,5.4,0.09,52.2,0.335,0.206,0.274,26243,0.105,295.9,181.6,0.228,0.1,470.61,4.34,79.7,11.4,0.308328469,-0.901524191,0.581342439,2.13E-05,2.13E-05,6.71E-05,2.75E-04,-0.575177338,197.2333333,5301,1441.333333,1290.666667,1350.666667,1218.333333,,,,,,,,,,,,,,,,13115,,1346.454,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
13117,Forsyth,"Forsyth County, Georgia",9.4,90.6,43.6,12.5,84.3,42863.99397,81.8,2.65,0.2,5.15,1.35,8.8,7.7,5.45,166512.5,61.6,5.7,0.395,6.55,45.6,12,26.95,0.25,8.1,7.15,Georgia,81.8,2.65,8.8,5.15,0.2,1.35,86.95,0.68040875,36.3,-84.1273355,34.225143,2.4,2.5,0.07,21,0.131,0.124,0.219,36466,0.097,98.4,49.3,0.154,0.068,129.87,1.38,36.1,4.3,2.069607992,1.494218162,0.802502683,-2.59E-04,2.59E-04,3.31E-04,8.44E-04,1.49399955,349,5411,1512,1322,1324,1253,588,702,473,410,521,300,758,864,653,579,703,454,600,718,482,13117,14.88888889,1374.394,"(13.6,14.9]","(33.8,35.6]","(-84.5,-82.1]","(1.27e+03,1.39e+03]","(317,396]"
13119,Franklin,"Franklin County, Georgia",25.7,74.3,13.6,4.5,72.9,24196.36349,86.7,8.45,0.15,0.45,1.25,2.9,19.7,14.65,21892.5,38.8,17.45,0.458,21.4,27.7,15.95,22.25,1.85,13.25,19.05,Georgia,86.7,8.45,2.9,0.45,0.15,1.25,87.15,0.759849,39.4,-83.2272905,34.3751554,,,0.1,66.8,0.327,0.195,0.265,5802,0.115,311,103.2,0.227,0.106,123.37,,105.7,,0.39903991,-0.889606568,0.564976073,1.34E-05,1.34E-05,6.29E-05,3.08E-04,-0.645300759,204.2,5085,1386,1283,1229,1187,,,,,,,,,,,,,,,,13119,,1291.59,,"(33.8,35.6]","(-84.5,-82.1]","(1.27e+03,1.39e+03]","(167,216]"
13121,Fulton,"Fulton County, Georgia",10.4,89.6,47.6,17.7,78.8,34953.15397,42.25,43,0.15,4.85,1.7,8,23.3,12.5,953864.5,62.2,15.35,0.529,22.1,45.95,14.7,25.9,0.1,5.65,7.65,Georgia,42.25,43,8,4.85,0.15,1.7,47.1,0.37244975,34,-84.4681816,33.7900338,2.4,2.7,0.11,44.2,0.413,0.133,0.229,218435,0.079,785.2,1268.7,0.224,0.096,840.82,13.8,59.8,8.1,-0.401809682,-0.226777193,1.669651429,2.69E-04,2.69E-04,2.92E-04,0.001789026,2.578057042,266.25,5134.5,1318.5,1396,1239.5,1180.5,,,,,,,,,,,,,,,,13121,,1304.163,,"(33.8,35.6]","(-84.5,-82.1]","(1.27e+03,1.39e+03]","(259,317]"
13123,Gilmer,"Gilmer County, Georgia",24.6,75.4,13.4,4.1,73.95,21847.06857,88.35,0.15,0.25,0.25,1.3,9.75,30.45,11.25,28336.5,41.7,19.8,0.45,26.55,21.05,16.65,21.85,1.35,18.3,20.85,Georgia,88.35,0.15,9.75,0.25,0.25,1.3,88.6,0.79026225,41,-84.4539838,34.6905413,3.2,3.8,0.09,68.5,0.339,0.223,0.291,8246,0.116,151.8,76.6,0.28,0.102,126.81,,84.1,11.4,-0.668002685,-1.079772054,0.609269707,1.87E-05,1.87E-05,9.19E-05,3.37E-04,-0.495927941,414.2,5829,1643,1397,1440,1349,,,,,,,,,,,,,,,,13123,,1480.566,,"(33.8,35.6]","(-84.5,-82.1]","(1.39e+03,4.3e+03]","(396,572]"
13125,Glascock,"Glascock County, Georgia",27.5,72.5,10.5,2.9,71.35,25691.2854,87.7,10.2,0.1,0,1.2,0.75,16.05,22.25,2909,33.6,16.9,0.412,17.65,21.45,16.85,20.8,1.55,15.05,24.3,Georgia,87.7,10.2,0.75,0,0.1,1.2,87.7,0.77973425,37.4,-82.6069126,33.2274908,,,0.11,40.1,0.248,,0.286,832,0.115,,199.6,0.194,0.114,22.42,,,,-1.013778859,-0.792908263,0.83306155,5.67E-05,5.67E-05,9.51E-05,3.04E-04,-0.009720372,126.8,4420,1214,1259,1015,932,,,,,,,,,,,,,,,,13125,,1122.68,,"(31.7,33.8]","(-84.5,-82.1]","(1.12e+03,1.19e+03]","(105,167]"
13127,Glynn,"Glynn County, Georgia",13.9,86.1,26.4,9.8,75.35,27829.18032,66.15,25.6,0.15,1,1.5,5.6,31.25,9.15,77066.5,38.7,15.1,0.472,24.75,31.8,22.2,25.2,0.6,10.05,10.15,Georgia,66.15,25.6,5.6,1,0.15,1.5,67.15,0.5065815,39.1,-81.4965167,31.2127465,3.6,2.5,0.1,68.4,0.423,0.18,0.282,21733,0.099,492.6,369.6,0.226,0.097,698,9.96,83.8,10,-0.779775445,-0.752341922,0.918964443,5.51E-05,5.51E-05,8.64E-05,2.80E-04,0.073558558,4.45,4731,966,1636.5,869,1259.5,683.5,771.5,596,537.5,631.5,443,818.5,899,738,675,767.5,583,701,783.5,618.5,13127,20.19444444,1201.674,"(18.5,25.2]","[19.6,31.7]","(-82.1,-78.2]","(1.19e+03,1.27e+03]","[-12.3,38.9]"
13129,Gordon,"Gordon County, Georgia",26.7,73.3,12.7,4.4,71.55,25826.81937,80.45,3.55,0.25,0.9,1.05,13.75,23.85,18.3,53473,29.1,16.5,0.412,21.75,22.8,11.9,25.6,0.65,12.2,26.75,Georgia,80.45,3.55,13.75,0.9,0.25,1.05,81.35,0.66758425,35.3,-84.8738622,34.5096669,4.3,4.4,0.07,66.3,0.263,0.236,0.285,15240,0.103,149.2,66.2,0.254,0.1,331.31,4.59,67.3,8.4,-0.638358584,-0.725529133,0.831946142,5.02E-05,5.02E-05,7.40E-05,3.63E-04,-0.091455328,,,,,,,,,,,,,,,,,,,,,,,,,,"(33.8,35.6]","(-87.2,-84.5]",,
13131,Grady,"Grady County, Georgia",25.9,74.1,10.1,3.7,74.1,24718.37556,59.95,28.35,0.75,0.3,0.9,9.75,38.1,19.25,24906,40,24,0.484,34.9,26.15,13.1,28.35,3.55,14,14.9,Georgia,59.95,28.35,9.75,0.3,0.75,0.9,60.25,0.449425,36.7,-84.2447719,30.8758626,4.9,2.8,0.1,82,0.421,0.264,0.323,8045,0.124,419.7,364,0.275,0.076,194.65,,71.2,9.7,-0.506465841,-1.541975596,0.655965875,-2.31E-05,2.31E-05,1.86E-04,7.78E-04,-0.200568873,61.3,4986,1270,1587,1093,1036,668,789,548,516,642,389,805,910,700,667,793,541,682,806,557,13131,19.33333333,1266.444,"(18.5,25.2]","[19.6,31.7]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(38.9,105]"
13133,Greene,"Greene County, Georgia",24.7,75.3,18.9,6.5,74.8,21611.68349,55.65,38.3,0.4,0.15,0.8,4.65,43.2,16.2,15811.5,66.3,22.5,0.564,36.75,23.05,25,21.25,1.2,10.95,18.6,Georgia,55.65,38.3,4.65,0.15,0.4,0.8,55.8,0.45862575,44.8,-83.1671033,33.576836,5.8,3.5,0.11,53.8,0.432,0.126,0.319,5044,0.147,449.1,161,0.229,0.096,306.88,,68.2,,-1.558631791,-1.55262767,0.76359216,-3.55E-05,3.55E-05,2.09E-04,0.001015105,0.051101607,211.8,4608,1270,1200,1140,998,621,744,498,449,567,331,787,904,670,613,745,480,631,755,507,13133,16.72222222,1170.432,"(16.6,18.5]","(31.7,33.8]","(-84.5,-82.1]","(1.12e+03,1.19e+03]","(167,216]"
13135,Gwinnett,"Gwinnett County, Georgia",12.7,87.3,34.9,10.9,78.9,32855.99524,47.95,21.35,0.2,9.95,2.05,18.45,17.3,8,786116.5,49.8,10.25,0.408,14.1,37.85,13.5,27.9,0.1,11.05,9.65,Georgia,47.95,21.35,18.45,9.95,0.2,2.05,57.9,0.31986725,33.3,-84.0229381,33.9591011,2.6,2.7,0.08,33,0.28,0.136,0.253,198887,0.074,355.1,195.3,0.238,0.078,256.77,5.37,40.6,6.2,0.486440022,0.58989836,0.713368872,-4.06E-05,4.06E-05,1.65E-04,5.50E-04,-0.08697075,,,,,,,,,,,,,,,,,,,,,,,,,,"(33.8,35.6]","(-84.5,-82.1]",,
13137,Habersham,"Habersham County, Georgia",25,75,18.7,7,80.1,22312.07873,80.75,3.9,0.15,2.1,1.3,11.8,37.65,13.4,42415.5,48.2,18.65,0.44,29.25,26.1,15,27.4,1.6,10.9,18.95,Georgia,80.75,3.9,11.8,2.1,0.15,1.3,82.85,0.6681135,36.2,-83.5264058,34.6351078,3.3,3.2,0.08,59.7,0.262,0.252,0.276,11707,0.107,191.8,67.9,0.257,0.089,200.47,,70.6,,-0.397508243,-0.628220765,0.732762053,4.80E-05,4.80E-05,5.80E-05,1.85E-04,-0.266751941,435.9,5824,1603,1499,1321,1401,579,695,463,406,519,292.5,748,855,641.5,570,696.5,442.5,589.5,707,472,13137,14.38888889,1479.296,"(13.6,14.9]","(33.8,35.6]","(-84.5,-82.1]","(1.39e+03,4.3e+03]","(396,572]"
13139,Hall,"Hall County, Georgia",23.5,76.5,21,7.6,71.05,27232.12381,64.25,6.75,0.2,1.75,1.05,26,22.8,13.25,178684.5,34.7,14.3,0.444,20.5,27.1,13.8,23.1,1.05,13.75,21.25,Georgia,64.25,6.75,26,1.75,0.2,1.05,66,0.485383,34.1,-83.8184973,34.3175876,3.7,3.4,0.08,60.2,0.275,0.166,0.29,51819,0.122,239.8,91.2,0.25,0.075,172.66,3.1,54.7,6.6,-0.895513475,-0.346881174,0.613637134,3.80E-05,3.80E-05,3.89E-05,1.93E-04,-0.513575028,372.6,5357,1466.5,1303.5,1287,1300,604,700,508,431.5,521,341,769.5,861.5,678,598,703.5,492,615,710.5,518.5,13139,15.77777778,1360.678,"(14.9,16.6]","(33.8,35.6]","(-84.5,-82.1]","(1.27e+03,1.39e+03]","(317,396]"
13141,Hancock,"Hancock County, Georgia",33.9,66.1,10.3,3.3,74.4,19777.35175,23.35,74.9,0.1,0.4,0.3,0.95,31.5,18.75,9439,65.2,24.25,0.424,32.15,21.65,32.55,10.65,1.15,3.8,30.2,Georgia,23.35,74.9,0.95,0.4,0.1,0.3,23.75,0.6156395,40.9,-83.0004653,33.2692195,,,0.15,45.6,0.616,,0.387,3653,0.163,723.4,218.9,0.213,0.17,136.97,,62.1,,-1.482436726,-2.386940835,1.340913084,-1.83E-04,1.83E-04,5.25E-04,0.001998249,2.247952701,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-84.5,-82.1]",,
13143,Haralson,"Haralson County, Georgia",30.4,69.6,11,3.2,71.95,25390.72349,91.5,4.95,0.3,0.35,1.8,1.15,32.45,16.6,28669.5,35,19.6,0.441,27.85,24.95,15.2,24.55,0.2,15.5,19.6,Georgia,91.5,4.95,1.15,0.35,0.3,1.8,91.85,0.84015275,38,-85.2200622,33.7951649,4.1,4.2,0.08,60.8,0.39,0.299,0.316,9060,0.118,174.6,109.9,0.204,0.095,522.03,5.04,114.8,,-0.052880221,-1.140192594,0.605922357,-6.93E-06,6.93E-06,1.04E-04,3.17E-04,-0.531089644,,,,,,,,,,,,,,,,,,,,,,,,,,"(33.8,35.6]","(-87.2,-84.5]",,
13145,Harris,"Harris County, Georgia",11.5,88.5,27.4,10.7,82.45,35159.97175,77,17.7,0.3,0.9,1.7,2.4,11.55,11.1,30454,47.1,9.6,0.455,10.95,42.55,11.8,26.3,0.55,9.75,9.1,Georgia,77,17.7,2.4,0.9,0.3,1.7,77.9,0.625184,41.5,-84.912432,32.7315494,3,2.7,0.09,29,0.195,0.185,0.282,8588,0.127,223.2,149.4,0.148,0.068,76.21,4.78,57.2,,0.289295217,0.504418679,0.687870628,-1.67E-05,1.67E-05,1.44E-04,5.09E-04,-0.28710042,152.7,5070,1405,1254,1266,1145,638,759,517,474,598,351,794,901,686,626,759,494,656,776,535,13145,17.66666667,1287.78,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(105,167]"
13147,Hart,"Hart County, Georgia",24.7,75.3,15.2,5.6,73.45,24503.55937,76.95,19.25,0.05,0.45,0.95,2.35,34.2,16,24650.5,51.2,21.05,0.469,27.9,28.35,18.4,19.75,1.4,12.2,19.85,Georgia,76.95,19.25,2.35,0.45,0.05,0.95,77.4,0.6298495,41.9,-82.96329,34.3487328,4,,0.1,46.8,0.29,,0.284,7001,0.117,241.1,139.3,0.232,0.11,328.18,,83.9,,-0.888885114,-0.974951339,0.46872816,-2.94E-06,2.94E-06,6.13E-05,1.96E-04,-0.825378024,210.3,,,,,,611,714,507.5,433.5,536.5,330.5,781.5,877,685.5,603.5,716.5,491,621,724.5,518,13147,16.16666667,,"(14.9,16.6]","(33.8,35.6]","(-84.5,-82.1]",,"(167,216]"
13149,Heard,"Heard County, Georgia",28.2,71.8,7.3,2.1,78.25,25627.45651,86.35,9.9,0.15,0.65,1.45,1.45,28.25,20.7,11628.5,54.6,18.85,0.399,29.15,20.45,15.4,23.3,2.3,15.55,23.05,Georgia,86.35,9.9,1.45,0.65,0.15,1.45,87,0.75589825,39.2,-85.1395936,33.2909683,,,0.08,55.7,0.271,,0.289,3361,0.117,136.2,126.5,0.206,0.102,252.17,,99,,0.555630123,-0.929639009,0.747655204,3.79E-05,3.79E-05,9.62E-05,2.93E-04,-0.211379067,228.6,5296,1420,1496,1264,1116,614,739,489,447,563,330,773,890,656,614,751,478,617,747,487,13149,16.33333333,1345.184,"(14.9,16.6]","(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(216,259]"
13151,Henry,"Henry County, Georgia",10.8,89.2,24.4,8.2,81.5,35465.20826,56.45,33.2,0.2,2.8,2.05,5.25,10.25,5.35,193437,58,7.75,0.369,11.15,32.55,15.1,29.45,0.15,10.25,12.55,Georgia,56.45,33.2,5.25,2.8,0.2,2.05,59.25,0.43284875,34.8,-84.1544404,33.4528811,3.4,2.9,0.09,32.2,0.327,0.207,0.285,55130,0.096,437.9,103.2,0.178,0.09,204.55,4.4,55.3,7.7,0.103690295,0.462557574,0.695090728,-1.22E-05,1.22E-05,1.43E-04,4.77E-04,-0.302439048,245.4,4952,1339,1294,1187,1132,616,742,491,438,557,318,791,907,674,610,752,468,624,748,500,13151,16.44444444,1257.808,"(14.9,16.6]","(31.7,33.8]","(-84.5,-82.1]","(1.19e+03,1.27e+03]","(216,259]"
